cvsin_type_1
Start(mV):	6.000000e+02
End(mV):	6.000000e+02
Max(mV):	6.000000e+02
Min(mV):	-1.000000e+02
Freq(Hz):	6.005168e+01
Amp(mV):	2.000000e+01
Type(0-4):	0
Rate(mV/s):	1.043081e+02
Direction:	a
Scans:	1
Average:	1
Gain(0-4):	1
Initial(mV):	6.000000e+02
Initial(ms):	5.000000e+03
Pre(mV):	0.000000e+00
Pre(ms):	0.000000e+00
Post(mV):	0.000000e+00
Post(ms):	0.000000e+00
4.843422e-01	-3.360220e-05	0.000000e+00
6.163981e-01	8.870520e-06	4.096000e-04
6.011352e-01	2.794402e-06	8.192000e-04
6.145598e-01	6.457400e-06	1.228800e-03
6.095294e-01	3.663178e-06	1.638400e-03
6.176420e-01	5.455202e-06	2.048000e-03
6.146837e-01	3.441561e-06	2.457600e-03
6.203161e-01	4.412633e-06	2.867200e-03
6.178525e-01	2.605309e-06	3.276800e-03
6.216011e-01	3.112548e-06	3.686400e-03
6.189732e-01	1.534491e-06	4.096000e-03
6.212317e-01	1.591080e-06	4.505600e-03
6.180893e-01	1.025334e-07	4.915200e-03
6.190149e-01	9.602135e-08	5.324800e-03
6.153277e-01	-1.305431e-06	5.734400e-03
6.151365e-01	-1.362990e-06	6.144000e-03
6.110203e-01	-2.517539e-06	6.553600e-03
6.099712e-01	-2.567354e-06	6.963200e-03
6.055592e-01	-3.533986e-06	7.372800e-03
6.039783e-01	-3.396440e-06	7.782400e-03
5.994271e-01	-4.241304e-06	8.192000e-03
5.975986e-01	-3.859777e-06	8.601600e-03
5.933134e-01	-4.396327e-06	9.011200e-03
5.915888e-01	-3.900525e-06	9.420800e-03
5.877715e-01	-4.099389e-06	9.830400e-03
5.864025e-01	-3.518586e-06	1.024000e-02
5.832260e-01	-3.430936e-06	1.064960e-02
5.825266e-01	-2.652898e-06	1.105920e-02
5.802572e-01	-2.475218e-06	1.146880e-02
5.802828e-01	-1.526237e-06	1.187840e-02
5.789519e-01	-1.104176e-06	1.228800e-02
5.799347e-01	-5.281339e-08	1.269760e-02
5.796080e-01	2.940021e-07	1.310720e-02
5.814408e-01	1.447560e-06	1.351680e-02
5.821542e-01	1.885687e-06	1.392640e-02
5.847615e-01	2.790871e-06	1.433600e-02
5.861920e-01	3.204529e-06	1.474560e-02
5.894524e-01	4.052755e-06	1.515520e-02
5.914840e-01	4.283773e-06	1.556480e-02
5.950844e-01	4.907146e-06	1.597440e-02
5.974137e-01	5.026413e-06	1.638400e-02
6.011256e-01	5.468101e-06	1.679360e-02
6.034793e-01	5.323715e-06	1.720320e-02
6.070175e-01	5.514366e-06	1.761280e-02
6.091095e-01	5.199670e-06	1.802240e-02
6.121425e-01	5.124519e-06	1.843200e-02
6.136779e-01	4.610086e-06	1.884160e-02
6.160437e-01	4.355759e-06	1.925120e-02
6.168200e-01	3.632591e-06	1.966080e-02
6.183574e-01	3.265699e-06	2.007040e-02
6.182373e-01	2.330358e-06	2.048000e-02
6.187599e-01	1.864413e-06	2.088960e-02
6.177588e-01	9.158179e-07	2.129920e-02
6.173282e-01	3.403136e-07	2.170880e-02
6.154034e-01	-5.324610e-07	2.211840e-02
6.141042e-01	-1.062744e-06	2.252800e-02
6.114276e-01	-1.924705e-06	2.293760e-02
6.093927e-01	-2.325765e-06	2.334720e-02
6.062130e-01	-2.998127e-06	2.375680e-02
6.037240e-01	-3.300988e-06	2.416640e-02
6.001804e-01	-3.847870e-06	2.457600e-02
5.974953e-01	-3.885454e-06	2.498560e-02
5.939588e-01	-4.203006e-06	2.539520e-02
5.913612e-01	-4.096760e-06	2.580480e-02
5.880662e-01	-4.138540e-06	2.621440e-02
5.858986e-01	-3.766971e-06	2.662400e-02
5.831192e-01	-3.673352e-06	2.703360e-02
5.815262e-01	-3.055783e-06	2.744320e-02
5.795786e-01	-2.711058e-06	2.785280e-02
5.787739e-01	-1.984223e-06	2.826240e-02
5.776893e-01	-1.470650e-06	2.867200e-02
5.778362e-01	-6.378581e-07	2.908160e-02
5.776922e-01	-2.746793e-08	2.949120e-02
5.787749e-01	8.574989e-07	2.990080e-02
5.796092e-01	1.457975e-06	3.031040e-02
5.815817e-01	2.301632e-06	3.072000e-02
5.832011e-01	2.816982e-06	3.112960e-02
5.858302e-01	3.549985e-06	3.153920e-02
5.880761e-01	4.007404e-06	3.194880e-02
5.912399e-01	4.592168e-06	3.235840e-02
5.938266e-01	4.857293e-06	3.276800e-02
5.972427e-01	5.287612e-06	3.317760e-02
5.999347e-01	5.262549e-06	3.358720e-02
6.032375e-01	5.535393e-06	3.399680e-02
6.057428e-01	5.298351e-06	3.440640e-02
6.086506e-01	5.297351e-06	3.481600e-02
6.107355e-01	4.886296e-06	3.522560e-02
6.130515e-01	4.565130e-06	3.563520e-02
6.143587e-01	4.037065e-06	3.604480e-02
6.158814e-01	3.558579e-06	3.645440e-02
6.163725e-01	2.872220e-06	3.686400e-02
6.169977e-01	2.232485e-06	3.727360e-02
6.164822e-01	1.440888e-06	3.768320e-02
6.161514e-01	8.212569e-07	3.809280e-02
6.147632e-01	1.259984e-08	3.850240e-02
6.135164e-01	-6.508907e-07	3.891200e-02
6.113092e-01	-1.443992e-06	3.932160e-02
6.092941e-01	-2.055736e-06	3.973120e-02
6.063816e-01	-2.702109e-06	4.014080e-02
6.038291e-01	-3.076297e-06	4.055040e-02
6.005492e-01	-3.583757e-06	4.096000e-02
5.977129e-01	-3.839278e-06	4.136960e-02
5.942959e-01	-4.164623e-06	4.177920e-02
5.914667e-01	-4.153380e-06	4.218880e-02
5.882448e-01	-4.184478e-06	4.259840e-02
5.857052e-01	-3.978289e-06	4.300800e-02
5.829722e-01	-3.785126e-06	4.341760e-02
5.810037e-01	-3.393591e-06	4.382720e-02
5.788842e-01	-3.032323e-06	4.423680e-02
5.776924e-01	-2.402080e-06	4.464640e-02
5.764254e-01	-1.961819e-06	4.505600e-02
5.760946e-01	-1.123156e-06	4.546560e-02
5.757978e-01	-5.233347e-07	4.587520e-02
5.763933e-01	2.658959e-07	4.628480e-02
5.770913e-01	1.032594e-06	4.669440e-02
5.786514e-01	1.729681e-06	4.710400e-02
5.801076e-01	2.433174e-06	4.751360e-02
5.825379e-01	3.216363e-06	4.792320e-02
5.847143e-01	3.593268e-06	4.833280e-02
5.875713e-01	4.314568e-06	4.874240e-02
5.902349e-01	4.622321e-06	4.915200e-02
